Date,Open,High,Low,Close,Adj Close,Volume
2019-12-17,197.600006,198.720001,196.449997,196.520004,194.004364,3338200
2019-12-18,196.600006,196.789993,194.710007,195.630005,193.125763,4287700
2019-12-19,195.460007,197.179993,195.250000,197.059998,194.537445,3345700
2019-12-20,198.550003,199.000000,196.649994,197.139999,194.616425,6415500
2019-12-23,197.539993,197.539993,196.029999,196.199997,193.688446,2388900
2019-12-24,195.929993,197.139999,195.669998,196.669998,194.152451,1152500
2019-12-26,196.610001,197.160004,196.160004,197.059998,194.537445,1809600
2019-12-27,197.330002,198.470001,197.179993,198.169998,195.633240,2263900
2019-12-30,197.580002,197.800003,195.940002,196.910004,194.389374,2242400
2019-12-31,196.800003,197.949997,196.559998,197.610001,195.080414,2278700
2020-01-02,198.000000,200.800003,197.809998,200.789993,198.219696,3554200
2020-01-03,199.389999,200.550003,198.850006,200.080002,197.518799,2767600
2020-01-06,199.600006,202.770004,199.350006,202.330002,199.739990,4660400
2020-01-07,201.869995,202.679993,200.509995,202.630005,200.036163,4047400
2020-01-08,202.619995,206.690002,202.199997,205.910004,203.274170,5284200
2020-01-09,206.860001,209.369995,206.100006,208.350006,205.682922,5971600
2020-01-10,208.440002,208.949997,207.270004,207.270004,204.616760,2336400
2020-01-13,207.380005,207.779999,205.759995,206.509995,203.866470,2784200
2020-01-14,205.460007,207.649994,205.460007,207.320007,204.666122,2622700
2020-01-15,207.320007,210.350006,207.320007,209.770004,207.084763,3369400
2020-01-16,210.110001,211.110001,209.220001,210.850006,208.150925,2726700
2020-01-17,211.419998,212.770004,211.350006,211.979996,209.266449,3540400
2020-01-21,211.369995,212.259995,210.220001,211.160004,208.456955,4100500
2020-01-22,213.160004,213.660004,211.410004,211.440002,208.733368,2757400
2020-01-23,210.539993,213.500000,208.619995,213.419998,210.688019,3378200
2020-01-24,214.179993,214.179993,210.899994,211.240005,208.535934,3106300
2020-01-27,207.839996,210.610001,207.300003,209.339996,206.660248,3389300
2020-01-28,209.889999,212.210007,209.860001,210.389999,207.696808,3855200
2020-01-29,211.690002,216.419998,210.800003,214.440002,211.694962,5734800
2020-01-30,214.000000,216.740005,212.830002,216.179993,213.412689,3560700
2020-01-31,215.520004,217.100006,213.139999,213.970001,211.230988,3920800
2020-02-03,214.990005,216.880005,214.229996,215.179993,212.425491,3539200
2020-02-04,216.110001,216.690002,214.250000,214.619995,211.872665,3367900
2020-02-05,215.639999,215.779999,213.009995,214.369995,211.625870,2911400
2020-02-06,214.720001,214.820007,212.639999,212.869995,210.145065,2903300
2020-02-07,212.559998,212.839996,211.089996,211.610001,208.901199,2421600
2020-02-10,211.339996,213.279999,211.250000,213.210007,210.480728,2318800
2020-02-11,214.000000,215.860001,213.649994,215.729996,212.968460,2694500
2020-02-12,216.000000,217.470001,215.110001,217.460007,214.676315,2844900
2020-02-13,216.710007,218.389999,216.190002,217.419998,214.636826,2853400
2020-02-14,217.500000,217.839996,216.380005,217.089996,214.311035,1720400
2020-02-18,215.919998,217.039993,215.669998,216.149994,213.383072,2712600
2020-02-19,216.809998,216.919998,215.610001,215.630005,212.869736,2229500
2020-02-20,216.149994,216.649994,212.779999,215.080002,212.326767,2869400
2020-02-21,215.240005,216.369995,214.300003,215.869995,213.106644,2791200
2020-02-24,210.580002,215.179993,210.110001,213.520004,210.786743,4218800
2020-02-25,214.580002,216.830002,211.149994,212.100006,209.384933,5053700
2020-02-26,212.889999,214.559998,209.750000,210.100006,207.410522,4190800
2020-02-27,207.699997,210.000000,200.929993,201.000000,198.427017,6403200
2020-02-28,196.000000,198.440002,188.809998,194.169998,192.883972,11377800
2020-03-02,193.809998,202.550003,193.179993,202.550003,201.208466,6154200
2020-03-03,202.000000,205.669998,197.160004,199.509995,198.188599,5115200
2020-03-04,201.929993,207.160004,200.899994,207.020004,205.648865,4260400
2020-03-05,202.639999,203.910004,196.330002,198.320007,197.006485,4107200
2020-03-06,192.899994,199.580002,191.210007,198.860001,197.542908,6360100
2020-03-09,187.669998,194.470001,184.100006,186.860001,185.622391,7788500
2020-03-10,190.949997,200.000000,187.889999,199.860001,198.536285,5835200
2020-03-11,192.940002,195.740005,185.830002,188.250000,187.003174,5625100
2020-03-12,174.779999,179.839996,169.380005,170.130005,169.003204,9079300
2020-03-13,178.259995,179.470001,168.199997,177.130005,175.956833,8042600
2020-03-16,157.100006,161.919998,147.630005,149.009995,148.023071,9341300
2020-03-17,148.020004,149.479996,135.000000,147.619995,146.642273,13708200
2020-03-18,137.500000,141.710007,124.230003,137.300003,136.390640,12627600
2020-03-19,135.199997,154.839996,128.210007,149.500000,148.509827,12773400
2020-03-20,153.589996,161.539993,147.770004,148.490005,147.506531,12000000
2020-03-23,142.949997,153.210007,136.500000,137.100006,136.191971,10660400
2020-03-24,149.000000,162.979996,146.100006,161.949997,160.877365,11678400
2020-03-25,165.000000,171.360001,159.220001,162.979996,161.900543,9708700
2020-03-26,163.990005,170.929993,161.000000,167.350006,166.241608,8259900
2020-03-27,162.779999,169.740005,159.220001,164.009995,162.923721,6441400
2020-03-30,164.919998,170.309998,163.570007,168.130005,167.016449,5621700
2020-03-31,166.839996,169.509995,165.000000,165.350006,164.254852,4519900
2020-04-01,160.220001,161.440002,156.350006,158.169998,157.122406,4668900
2020-04-02,155.000000,161.949997,155.000000,161.500000,160.430359,4803200
2020-04-03,160.309998,162.229996,156.149994,160.330002,159.268097,5050400
2020-04-06,169.199997,177.869995,168.240005,177.039993,175.867416,8330900
2020-04-07,184.529999,185.190002,175.160004,175.589996,174.427032,7848300
2020-04-08,175.009995,179.419998,174.100006,177.490005,176.314453,5665700
2020-04-09,180.729996,185.460007,179.619995,183.699997,182.483307,4901900
2020-04-13,182.679993,182.850006,176.910004,180.119995,178.927017,3182500
2020-04-14,183.750000,184.490005,181.839996,183.990005,182.771408,3863800
2020-04-15,178.740005,180.970001,177.270004,177.839996,176.662125,4961500
2020-04-16,177.000000,179.910004,172.270004,179.500000,178.311127,7120800
2020-04-17,182.320007,186.809998,180.229996,186.100006,184.867432,6467600
2020-04-20,184.449997,185.779999,181.550003,181.649994,180.446884,3856500
2020-04-21,177.369995,179.389999,176.100006,177.580002,176.403854,4758300
2020-04-22,180.750000,187.729996,180.750000,186.479996,185.244904,4245900
2020-04-23,186.160004,187.330002,181.320007,182.039993,180.834305,5050100
2020-04-24,183.259995,184.350006,180.860001,184.020004,182.801208,3319600
2020-04-27,185.149994,188.369995,184.770004,185.889999,184.658813,4048200
2020-04-28,190.000000,190.000000,185.570007,185.929993,184.698532,3805000
2020-04-29,188.529999,190.410004,186.880005,187.820007,186.576035,3465200
2020-04-30,182.000000,188.309998,180.759995,187.559998,186.317749,7124300
2020-05-01,184.000000,185.539993,182.149994,182.660004,181.450211,3764800
2020-05-04,181.309998,182.460007,178.869995,181.869995,180.665436,4027100
2020-05-05,183.529999,183.860001,179.110001,179.240005,178.052856,3828400
2020-05-06,180.600006,181.119995,176.860001,176.970001,175.797897,3916900
2020-05-07,179.500000,181.559998,178.300003,181.119995,179.920395,3039600
